PROP_ID,location,AREA,PRICE,BEDROOM_NUM,MIN_AREA_SQFT,MAX_AREA_SQFT,AMENITIES,AGE,FLOOR_NUM,TOTAL_FLOOR,BALCONY_NUM,TOTAL_LANDMARK_COUNT,REGISTERED_DAYS,PROPERTY_TYPE,FURNISH,FACING,VERIFIED,LAT,LNG
A69661186,unknown,unknown,9600000.0,3.0,1248.0,1248.0,,7.5,4.0,4.0,2.0,50.0,60.0,flat,semi-furnished,east,1,17.3964311,78.4815879
I66377216,unknown,unknown,63000000.0,4.0,2871.0,2871.0,,0.0,2.0,3.0,3.0,11.0,60.0,villa,semi-furnished,west,0,17.453581,78.291189
K68312936,unknown,unknown,70000000.0,2.0,3114.0,3114.0,,7.5,1.0,2.0,2.0,50.0,30.0,villa,semi-furnished,unknown,1,17.4106,78.46241
Q69959424,sainikpuri,sainikpuri,139000000.0,3.0,11205.0,11205.0,,7.5,0.0,1.0,4.0,47.0,30.0,villa,semi-furnished,north-east,1,17.4891865,78.5420732
Z69900422,unknown,unknown,12500000.0,3.0,1525.0,1525.0,,20.0,2.0,5.0,2.0,33.0,21.0,flat,furnished,west,1,17.406421,78.616398
F68989936,ameerpet,ameerpet,23500000.0,3.0,2249.0,2249.0,,20.0,9.0,11.0,2.0,15.0,90.0,flat,semi-furnished,west,0,17.43271,78.444297
R70137376,kollur,kollur,57500000.0,4.0,4255.0,4255.0,,12.0,2.0,3.0,3.0,0.0,30.0,villa,semi-furnished,west,0,17.448266,78.249577
T69840498,miyapur,miyapur,8400000.0,3.0,1526.0,1526.0,,7.5,2.0,5.0,3.0,20.0,30.0,flat,unfurnished,west,1,17.526992,78.344595
I68858486,unknown,unknown,13000000.0,3.0,3150.0,3150.0,,2.5,1.0,2.0,1.0,49.0,7.0,villa,semi-furnished,unknown,1,17.497983,78.459688
V69164044,unknown,unknown,18000000.0,4.0,2564.0,2564.0,,2.5,1.0,2.0,3.0,49.0,90.0,flat,furnished,unknown,0,17.505486,78.540761
E68579892,unknown,unknown,21000000.0,4.0,1620.0,1620.0,,0.0,1.0,2.0,1.0,50.0,90.0,villa,semi-furnished,east,1,17.536121,78.289779
O64665652,unknown,unknown,9500000.0,3.0,1530.0,1530.0,,12.0,3.0,5.0,2.0,46.0,90.0,flat,semi-furnished,east,0,17.483151,78.567007
S70534776,unknown,unknown,15000000.0,3.0,1945.0,1945.0,,0.0,3.0,5.0,2.0,49.0,7.0,flat,semi-furnished,east,1,17.465743,78.345041
E70193926,unknown,unknown,6500000.0,3.0,1550.0,1550.0,,7.5,3.0,5.0,2.0,50.0,30.0,flat,furnished,unknown,0,17.510933,78.533058
C69523960,shilpa hills,shilpa hills,31100000.0,3.0,2705.0,2705.0,,2.5,13.0,18.0,1.0,47.0,60.0,flat,furnished,west,1,17.463222,78.373772
E69386292,kompally,kompally,17000000.0,4.0,3000.0,3000.0,,2.5,1.0,2.0,2.0,37.0,28.0,villa,furnished,unknown,1,17.5386495,78.4803923
F68862282,unknown,unknown,38000000.0,3.0,2700.0,2700.0,,20.0,1.0,2.0,3.0,0.0,4.0,villa,semi-furnished,west,0,17.443354,78.182044
G68182512,unknown,unknown,9650000.0,3.0,1520.0,1520.0,,20.0,5.0,6.0,2.0,43.0,30.0,flat,unfurnished,west,0,17.519291,78.306542
N69132882,kompally,kompally,14900000.0,3.0,1820.0,1820.0,,20.0,3.0,9.0,1.0,10.0,90.0,flat,semi-furnished,east,0,17.538237,78.480804
K68543692,pedso 2,pedso 2,4800000.0,2.0,1040.0,1040.0,,2.5,1.0,5.0,1.0,33.0,120.0,flat,furnished,east,0,17.509831,78.542499
T69881530,unknown,unknown,16500000.0,3.0,1920.0,1920.0,,2.5,12.0,14.0,2.0,48.0,30.0,flat,furnished,west,1,17.42278,78.34724
K68218934,peerzadiguda,peerzadiguda,12500000.0,5.0,1506.0,1506.0,,7.5,1.0,2.0,2.0,33.0,90.0,villa,semi-furnished,north-east,1,17.406421,78.616398
O69566610,unknown,unknown,17600000.0,3.0,1725.0,1725.0,,0.0,6.0,12.0,1.0,0.0,60.0,flat,semi-furnished,west,0,,
R69506944,masab tank,masab tank,12500000.0,3.0,1500.0,1500.0,,7.5,2.0,4.0,1.0,49.0,60.0,flat,semi-furnished,unknown,1,17.3996648,78.4496168
Y70563288,kukatpally,kukatpally,7500000.0,3.0,200.0,200.0,,0.0,1.0,3.0,0.0,47.0,7.0,house,semi-furnished,unknown,0,17.4948,78.3996
T70141892,unknown,unknown,7400000.0,2.0,1230.0,1230.0,,2.5,4.0,5.0,2.0,47.0,21.0,flat,furnished,east,1,17.49479,78.39964
G68688720,vijayapuri colony,vijayapuri colony,14000000.0,2.0,1251.0,1251.0,,7.5,1.0,2.0,2.0,7.0,90.0,villa,furnished,south,1,17.4208136218379,78.6406221360118
N69617562,unknown,unknown,7100000.0,2.0,1145.0,1145.0,,12.0,3.0,5.0,2.0,9.0,60.0,flat,semi-furnished,east,0,17.5468498,78.3650231
W70166330,new maruthi nagar,new maruthi nagar,4800000.0,2.0,850.0,850.0,,7.5,1.0,3.0,1.0,50.0,14.0,flat,semi-furnished,north,0,17.377228,78.534817
M69962790,p&t colony,p&t colony,50000000.0,10.0,2000.0,2000.0,,2.5,2.0,3.0,3.0,39.0,30.0,villa,semi-furnished,south,0,17.357233,78.404825
V70308808,unknown,unknown,8500000.0,2.0,1185.0,1185.0,,20.0,4.0,8.0,1.0,8.0,2.0,flat,furnished,east,0,17.549696,78.478157
G70929570,barkatpura,barkatpura,9500000.0,2.0,750.0,750.0,,7.5,2.0,4.0,2.0,50.0,4.0,flat,furnished,north-east,0,17.3915153,78.4972145
Z67267722,manikonda,manikonda,80000000.0,4.0,3000.0,3000.0,,20.0,0.0,1.0,0.0,0.0,21.0,villa,furnished,unknown,0,,
A69246312,unknown,unknown,6000000.0,2.0,1420.0,1420.0,,7.5,3.0,4.0,3.0,50.0,60.0,flat,semi-furnished,east,1,17.448505,78.514838
B70440280,kukatpally,kukatpally,13000000.0,3.0,1800.0,1800.0,,2.5,3.0,15.0,2.0,47.0,14.0,flat,furnished,east,1,17.49479,78.39964
R70210716,unknown,unknown,11800000.0,3.0,1815.0,1815.0,,12.0,3.0,5.0,2.0,49.0,30.0,flat,unfurnished,east,0,17.349881,78.555418
G70147870,srinivasa colony,srinivasa colony,30000000.0,3.0,375.0,375.0,,7.5,0.0,1.0,0.0,50.0,30.0,villa,semi-furnished,unknown,1,17.412143,78.571477
V70080958,unknown,unknown,4900000.0,2.0,1000.0,1000.0,,7.5,2.0,4.0,2.0,47.0,30.0,flat,semi-furnished,east,1,17.367175,78.52609
Q59307880,unknown,unknown,7000000.0,2.0,1020.0,1020.0,,2.5,1.0,5.0,2.0,50.0,30.0,flat,furnished,unknown,1,17.36928,78.55331
J54275534,unknown,unknown,25000000.0,6.0,4200.0,4200.0,,2.5,2.0,3.0,2.0,50.0,90.0,villa,furnished,east,0,17.414894,78.55985
W69679638,nagole,nagole,4500000.0,1.0,540.0,540.0,,2.5,0.0,1.0,1.0,50.0,30.0,villa,unfurnished,unknown,1,17.3697735,78.5618265
O68822816,unknown,unknown,3800000.0,2.0,819.0,819.0,,7.5,1.0,4.0,1.0,49.0,90.0,flat,semi-furnished,unknown,0,17.38504,78.48667
E67753284,unknown,unknown,9700000.0,3.0,1525.0,1525.0,,20.0,7.0,15.0,1.0,15.0,7.0,flat,semi-furnished,east,1,17.568049,78.47042
X68079088,nallagandla,nallagandla,10900000.0,3.0,1754.0,1754.0,,12.0,13.0,14.0,2.0,11.0,150.0,flat,unfurnished,west,0,17.459904,78.306975
J69245166,unknown,unknown,17500000.0,3.0,1818.0,1818.0,,2.5,3.0,5.0,3.0,49.0,90.0,flat,furnished,east,0,17.456025,78.448549
