BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,TARGET_PRICE_SQFT,FLOOR_RATIO_WAS_MISSING,BALCONY_NUM_WAS_MISSING,BEDROOM_NUM_CLEAN_WAS_MISSING,TOTAL_FLOOR_WAS_MISSING
3.0,5.0,11,13,50.0,1.0,2.0,2270.0,17.4011618,78.37569,7.0,1,0,0,1,0,0,1,1,0,Apartment,Furnished,East,Under_Construction,Large,2,: ,7488.0,0,0,0,0
2.0,2.0,8,9,49.0,0.5384615384615384,2.0,1647.0,17.33671,77.9044,60.0,1,0,0,1,0,0,1,0,0,Villa,Semi_Furnished,East,Resale_Very_Old,Medium,2,Vikarabad,33879.0,1,0,0,0
3.0,2.0,7,9,50.0,0.5384615384615384,1.0,2400.0,17.516967,78.379773,,1,0,0,1,0,1,1,0,0,Villa,Semi_Furnished,NE,5_10_yrs,Large,1,: ,11666.0,1,0,0,0
3.0,1.0,0,0,50.0,0.5384615384615384,1.0,2700.0,17.495438,78.2960172,5.0,1,0,0,1,0,1,1,0,0,Villa,Semi_Furnished,Unknown,5_10_yrs,XL,1,BHEL,20547.0,1,0,0,0
3.0,4.0,6,6,3.0,0.75,2.0,1530.0,17.20869,78.47603,14.0,0,1,1,1,0,0,1,0,0,Apartment,Semi_Furnished,NE,Resale_Old,Medium,2,: ,4575.0,0,0,0,0
2.0,1.0,0,0,50.0,0.5384615384615384,0.0,1134.0,17.324113,78.5519,30.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,NW,5_10_yrs,Small,Unknown,: ,69841.0,1,0,0,0
3.0,4.0,4,4,50.0,0.25,2.0,1475.0,17.4011618,78.37569,60.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,North,5_10_yrs,Medium,2,Manikonda,5084.0,0,0,0,0
6.0,3.0,0,0,50.0,0.5384615384615384,2.0,567.0,17.42761,78.5054,60.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,Unknown,5_10_yrs,Micro,2,: ,134920.0,1,0,0,0
4.0,3.0,12,13,50.0,0.5384615384615384,3.0,4500.0,17.4760126,78.4737003,60.0,1,0,0,1,0,1,0,0,0,Villa,Furnished,East,5_10_yrs,XL,3+,: ,17777.0,1,0,0,0
5.0,2.0,0,0,47.0,0.5384615384615384,1.0,1980.0,17.48718,78.5786,90.0,1,0,0,1,0,0,1,0,0,Villa,Unfurnished,Unknown,0_5_yrs,Large,1,: ,159090.0,1,0,0,0
3.0,40.0,4,4,25.0,0.3,1.0,2600.0,17.3923634,78.3621784,120.0,0,1,0,1,0,0,1,0,0,Apartment,Semi_Furnished,Unknown,Resale_Old,XL,1,: ,6500.0,0,0,0,0
3.0,4.0,13,14,50.0,0.5,4.0,2200.0,17.374194,78.553525,60.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,NE,Resale_Very_Old,Large,3+,: ,9090.0,0,0,0,0
4.0,2.0,1,2,47.0,0.5384615384615384,2.0,1215.0,17.49479,78.39964,30.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,West,Under_Construction,Medium,2,: ,129629.0,1,0,0,0
5.0,1.0,0,0,46.0,0.5384615384615384,4.0,2700.0,17.4876857,78.5483395,7.0,1,0,0,1,0,1,1,0,0,Villa,Unfurnished,Unknown,Resale_Very_Old,XL,3+,: ,116666.0,1,0,0,0
3.0,1.0,0,0,1.0,0.5384615384615384,3.0,2350.0,17.442791,78.278282,30.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,Unknown,0_5_yrs,Large,3+,Osman Nagar,9574.0,1,0,0,0
